PCON14CD,PCON_Name,house,salary,earnings,jsa,publicsector,degree,age,nonukborn,health,turnout
E14000813,Mid Bedfordshire,165000,33003,610.8,0.7,13.9,32,56.5,52.2,45.3,84.5
E14000814,Mid Derbyshire,165000,31258,568.9,0.7,17.3,24.2,49.4,21.5,92,10.7
E14000815,Mid Dorset and North Poo,165000,27465,497.8,0.8,18.2,5.2,80.1,94.1,65.9,56.9
E14000816,Mid Norfolk,165625,24393,488.6,1.2,19.8,65.9,87.5,58.5,7.4,60.4
E14000817,Mid Sussex,166000,29958,580.8,0.6,17.3,69.3,70.6,49.5,49.1,84.1
E14000818,Mid Worcestershire,167000,26197,488.9,1.2,14.2,11.8,45.4,27.6,80.7,19.9
E14000819,Middlesbrough,167000,22750,435.5,5.5,34.6,6.1,23,30.2,39.5,80.1
E14000820,Middlesbrough South and,167000,22937,464.7,3.2,24.3,23,0.5,58.5,82.6,46.5
E14000821,Milton Keynes North,167000,28939,498.3,1.6,8.7,67,89.8,35.6,38.8,67.6
E14000822,Milton Keynes South,167000,28825,562,1.6,18.2,45.3,53.7,60.4,5.3,13.6
E14000823,Mitcham and Morden,167250,28680,532.5,2.4,17.3,69.9,93.6,82.7,1.8,65.3
E14000824,Mole Valley,167750,34776,687.9,0.6,10.1,63.7,41.5,49.6,17.4,49.4
E14000825,Morecambe and Lunesdale,168000,25177,462.8,2.4,17.1,6,11.4,83.4,53,38.2
E14000826,Morley and Outwood,168000,28203,532.1,1.7,20.2,92,66.7,73.9,86.7,36.4
E14000827,New Forest East,168000,28612,558,0.8,17.2,43.7,60.7,98,46.6,83.6
E14000828,New Forest West,168000,28389,514,0.8,14.2,61,49,5.3,66.6,23.2
E14000829,Newark,168000,25271,463.8,1.2,18.1,52.8,21.2,41.4,95.8,49.2
E14000830,Newbury,169997.5,31392,568.5,0.7,17.4,81.5,65.8,43.2,87.7,67
E14000831,Newcastle upon Tyne Cent,170000,25202,477.4,4.2,25.7,95.1,15.2,35.1,7.4,56.4
E14000832,Newcastle upon Tyne East,170000,26099,503.8,2.4,36.4,63.1,13.8,29.7,84.2,27
E14000833,Newcastle upon Tyne Nort,170000,25236,479.3,2.1,23.7,69.9,48.9,34.1,54.2,14.4
E14000834,Newcastle-under-Lyme,170000,24249,478.5,1.3,13,64.5,28.7,30.9,3.8,81.5
E14000835,Newton Abbot,170000,23529,447.4,1,18.4,89.9,79.9,88,11.7,28.8
E14000836,"Normanton, Pontefract an",170000,22940,431.7,2.2,14.7,9.3,68.1,63.4,48.1,47.6
E14000837,North Cornwall,170000,24248,496,1.2,13.8,12.7,7.3,11.6,77.2,62.9
E14000838,North Devon,171000,22105,433.8,0.9,18.5,88,19.5,1.3,44.8,92
E14000839,North Dorset,171250,25512,482.1,0.6,16.8,5.5,69.5,86.8,98.6,52.6
E14000840,North Durham,172000,24967,482.2,2.5,18.3,68.7,47.5,31.1,34.9,77
E14000841,North East Bedfordshire,173000,31842,589.3,1,14,74,12.7,95.5,78.9,52.8
E14000842,North East Cambridgeshir,174000,24404,467.9,1.2,14.9,20.3,24.4,85.7,42.7,49.8
E14000843,North East Derbyshire,175000,26252,536.6,1.6,23.6,95.5,65.8,35.6,4.2,12.5
E14000844,North East Hampshire,175000,37179,672.9,0.5,9.8,4.5,13.2,86.8,77.2,61.7
E14000845,North East Hertfordshire,175000,33005,626.4,1.2,10.1,84.1,19.8,57.2,84.9,15.3
E14000846,North East Somerset,175000,27704,495.5,0.7,15.6,99.4,69.9,27,62.7,88
E14000847,North Herefordshire,175000,23143,430.1,0.9,11.7,89.7,59.8,66.6,97.6,44.5
E14000848,North Norfolk,175000,25225,470.5,1.2,14.7,93.7,27.4,49.2,27.9,91.1
E14000849,North Shropshire,177000,24407,479.1,1.5,15.6,46.1,53.6,6.9,39.2,34
E14000850,North Somerset,177000,33262,585.7,0.5,14.4,1.6,75.8,13.1,75,78.5
E14000851,North Swindon,178000,25838,489,1.3,14.2,23.3,14.7,28.5,93.3,63.8
E14000852,North Thanet,179000,27992,495.3,2.8,25,55.2,65.5,14.9,80.5,7.6
E14000853,North Tyneside,179950,22516,443.2,2.9,11.7,37.7,10.3,45.2,15.4,66.4
E14000854,North Warwickshire,179950,25431,498.4,1.3,8.5,66.5,59.4,40,49.4,80.4
E14000855,North West Cambridgeshir,180000,27198,524.2,1.1,11.1,41,75.8,5.9,71.7,28.9
E14000856,North West Durham,180000,x,492.2,1.9,15.2,64.7,95.2,73.1,60.9,22.4
E14000857,North West Hampshire,180000,30812,574.3,0.7,16,12.3,96.7,83.1,22.5,24.5
E14000858,North West Leicestershir,180000,25397,486.4,1.3,10.4,31.3,91.7,26.2,31.1,17.3
E14000859,North West Norfolk,180500,23269,446.1,1.6,25.6,85.6,60.5,69.4,83.5,80.1
E14000860,North Wiltshire,181000,27981,541.5,0.9,10.5,97.4,13.6,57.4,73.5,77.2
E14000861,Northampton North,181500,22501,426.8,2.1,12.9,37.5,32.2,4.5,86.5,75.2
E14000862,Northampton South,181750,25863,490.6,2.5,22.6,81.2,90.2,65.8,82.9,4.1
E14000863,Norwich North,182000,23033,427.8,1.9,17.4,72.3,91.3,23.1,45.1,69.6
E14000864,Norwich South,182000,23267,458.9,2,18,28.6,77.7,92,86.8,95.1
E14000865,Nottingham East,182500,23595,430.6,4.8,23.8,51.1,45.7,1.4,48.2,39.6
E14000866,Nottingham North,184100,20465,381.4,5.2,20.9,96.5,99.8,82.2,11.7,96.3
E14000867,Nottingham South,185000,x,453,2.5,19.1,19.3,52.9,38.7,77.1,54.4
E14000868,Nuneaton,185000,x,486.7,2.1,24.2,62.6,20.7,59.6,55.3,68.4
E14000869,Old Bexley and Sidcup,185000,34153,666.7,1.1,21.8,66.4,71.1,36.5,54.6,46
E14000870,Oldham East and Saddlewo,185000,25274,491.8,1.8,19.5,32.8,54.6,40.3,19.9,7.3
E14000871,Oldham West and Royton,185000,21527,428,2.1,27.5,11.4,40.1,51.2,14.1,18.5
E14000872,Orpington,186000,x,630,1,18.5,11.7,81.2,95.3,74.1,14.8
E14000873,Oxford East,187000,28544,546.5,1,24.4,23,17.3,47.3,83.9,52.1
E14000874,Oxford West and Abingdon,187000,31362,597.6,0.6,13.4,17.8,69.8,37.4,75.1,62
E14000875,Pendle,187500,24603,460.8,1.7,13.5,20,13,72.8,65.2,78.3
E14000876,Penistone and Stocksbrid,188000,29663,545.8,1.5,13,13.4,11.7,64,66.6,45.9
E14000877,Penrith and The Border,189950,23123,443.9,0.7,18.8,36,83.4,77.1,64,51.4
E14000878,Peterborough,189975,23796,451.7,2.2,19.8,52.8,60,84.1,39.3,32.5
E14000879,"Plymouth, Moor View",190000,23410,448,1.9,37.9,39.7,36.9,44.4,85.2,21.5
E14000880,"Plymouth, Sutton and Dev",190000,23957,458.2,2.6,14.9,8.2,27.2,88.9,56.3,34.5
E14000881,Poole,190000,27176,522,1.1,17.5,66.3,98.7,59.8,87.8,80.8
E14000882,Poplar and Limehouse,190000,38657,711.8,2.9,10.1,95.1,59.1,44.7,14.6,44.1
E14000883,Portsmouth North,190000,26011,474.9,1.7,23.8,13.9,89,59.5,83.1,83.3
E14000884,Portsmouth South,190000,26307,497.5,2.1,20.8,13.4,30.6,30.1,65.3,99.7
E14000885,Preston,190000,19990,399.9,2.2,30.5,26.8,3.9,59.4,56.4,3.7
E14000886,Pudsey,190000,28514,545.9,1.4,15.1,36.9,47.5,95.1,45.4,70.7
E14000887,Putney,190000,38781,745.6,1.6,12.4,23.9,3.5,37.4,42.5,25.2
E14000888,Rayleigh and Wickford,191250,31231,606.2,1,20.1,80.8,54.2,16,78.2,18.8
E14000889,Reading East,191500,31783,556.5,1.1,15.3,74.4,82.1,30.6,48.1,61.7
E14000890,Reading West,192000,30056,602.8,1.5,16.2,34.8,46.1,70.1,77.6,61.9
E14000891,Redcar,192500,24904,473.9,4.4,18.6,17.1,37.1,27,37.6,89.1
E14000892,Redditch,192500,21869,453,1.5,15.8,30.3,12.9,1.9,79.7,54.7
E14000893,Reigate,193000,37011,724.7,0.9,19.9,20.3,55,10.4,63.7,90.8
E14000894,Ribble Valley,194000,27552,496.9,0.8,14.9,69.8,49.1,39,13.9,77.4
E14000895,Richmond (Yorks),195000,x,479.1,0.7,29.2,27.3,51.9,93.3,80.4,83
E14000896,Richmond Park,195000,43718,834.3,1,17.8,73.7,92.9,1.3,86.7,77.7
E14000897,Rochdale,195000,22973,440.8,2.3,25,35,76.8,90.7,62.7,30.5
E14000898,Rochester and Strood,195500,31069,583.4,1.9,20.3,86.4,10.9,57.4,29.4,9.9
E14000899,Rochford and Southend Ea,196995,26769,506.2,2.8,22.6,58.8,30.3,5.1,82.5,12.7
E14000900,Romford,197000,33093,651.6,1.8,28.8,28,22.2,88.7,69.5,72.6
E14000901,Romsey and Southampton N,199995,28256,509.1,0.7,14.7,64.9,41,41.2,38.8,83.9
E14000902,Rossendale and Darwen,200000,24094,451.7,1.7,15.8,18.5,36,55.3,51.4,50.4
E14000903,Rother Valley,200000,28928,515,2.4,18.3,1.4,38.1,77.1,53.3,48.8
E14000904,Rotherham,200000,x,399.4,4.2,30.7,67.5,17.7,78.6,7.4,51.1
E14000905,Rugby,200000,27902,528,1,12.6,92.9,76,76.6,12.2,56
E14000906,"Ruislip, Northwood and P",200000,36164,672.5,0.9,18.1,28.4,88.3,40.7,60.2,87.3
E14000907,Runnymede and Weybridge,202000,33621,585,0.6,12.2,21.4,53.9,84.9,79.9,97
E14000908,Rushcliffe,202000,32498,596.3,1,22.2,64.4,78.2,66,65.5,76.1
E14000909,Rutland and Melton,203000,25317,502.2,0.9,13.5,55.6,42.4,8.5,84.9,8.1
E14000910,Saffron Walden,203000,x,613.1,0.7,23.1,9.4,6.1,31.8,86.8,8.9
E14000911,Salford and Eccles,205000,24072,459.2,2.4,23.8,47.4,78.6,83.8,65.3,19.6
E14000912,Salisbury,205000,28279,521.9,0.7,26,9.7,19,70.2,50.4,14.7
E14000913,Scarborough and Whitby,205000,25180,493.6,2.3,23.8,26.1,8.1,72.9,30.5,14.6
E14000914,Scunthorpe,205000,24308,461.4,3.2,21.7,39.1,64.4,43.1,45.9,10.6
E14000915,Sedgefield,205000,27101,501.8,2.6,13.5,94.7,84.8,51.5,16.3,39
E14000916,Sefton Central,205000,27102,556.3,0.9,25.6,95.6,87,87.1,40.3,77.6
E14000917,Selby and Ainsty,206000,27497,529.3,1.3,11.2,58.6,51.5,74.9,28.2,66
E14000918,Sevenoaks,207000,32619,628.2,0.9,11.1,3.2,74.4,49.8,92.3,46.4
E14000919,Sheffield Central,207500,x,486.1,2.4,26.6,39.6,28.6,87.6,49.2,36.6
E14000920,Sheffield South East,209000,21955,434,2.7,8.1,35.2,21.3,60.4,12.9,81
E14000921,"Sheffield, Brightside an",209000,22712,424.8,4.9,31.6,48.8,49.3,55.5,9.9,98.7
E14000922,"Sheffield, Hallam",210000,31642,624.6,0.9,26.3,77.3,5.6,82.4,78.8,48.3
E14000923,"Sheffield, Heeley",210000,22715,449.9,3.9,20.6,52.8,38.3,50.9,15.6,43.3
E14000924,Sherwood,210000,23997,453.7,1.9,19.7,30.7,7.6,39.2,9.8,61
E14000925,Shipley,210000,27329,521.9,2.1,23.3,58.5,23.5,44.1,20,58
E14000926,Shrewsbury and Atcham,210000,25101,480,1.5,28.7,9.5,93.8,45.2,96.9,30
E14000927,Sittingbourne and Sheppe,210000,27910,520,2.3,18.4,92.1,68.1,16.2,90.1,14.2
E14000928,Skipton and Ripon,210000,24382,468.1,0.7,12.3,83.8,88,45.5,18.1,41.6
E14000929,Sleaford and North Hykeh,210000,26013,509.7,1,15.3,82.1,0.8,9.8,17.1,38.5
E14000930,Slough,210000,28102,530.9,1.8,17.6,52.8,52.3,93.8,86.6,63.3
E14000931,Solihull,210000,32513,613.5,0.9,17.9,25.5,91.7,36.5,44,36
E14000932,Somerton and Frome,210000,26412,504.1,0.8,13.2,50.5,54.4,0.7,97.2,30.7
E14000933,South Basildon and East,210000,30050,551,2,32.1,75,76.5,95.1,2.4,8.2
E14000934,South Cambridgeshire,212000,33359,624.5,0.5,26.8,19.2,35.2,29.4,7.6,43.9
E14000935,South Derbyshire,213000,27524,508.2,0.8,14.9,85.3,21.9,12.1,75.2,61.7
E14000936,South Dorset,214225,24697,464.9,1.4,21,37.8,62.6,49.7,58.8,69.5
E14000937,South East Cambridgeshir,214995,28936,571.8,0.6,9.1,71.8,91.6,25,75.9,48.9
E14000938,South East Cornwall,215000,24951,459.2,1.1,14.1,87.3,93.1,59.2,25,47.6
E14000939,South Holland and The De,215000,24476,467.9,1.4,9.5,33.6,34.4,61.4,62.9,38.7
E14000940,South Leicestershire,215000,28076,539.9,0.9,11.8,44.9,10.3,88.5,37.6,79
E14000941,South Norfolk,215000,x,507.2,1,28,46.7,47.6,42.7,23.2,37.7
E14000942,South Northamptonshire,215250,30662,569.1,0.7,14.2,56.4,14.4,75.5,53.5,65.4
E14000943,South Ribble,216000,25822,517.5,0.9,17.5,60.2,99.9,81.6,41.9,74.9
E14000944,South Shields,217000,23319,454.8,5,36.1,58.3,70.4,85.6,83.1,95.8
E14000945,South Staffordshire,217000,26687,510.5,1.3,17.5,83.1,19.8,81.4,63.7,30.8
E14000946,South Suffolk,219000,27999,517,0.9,13.2,55.6,84.5,33.6,56.2,4.9
E14000947,South Swindon,219125,28983,524.2,1.7,19.6,53.3,44.5,48.3,83.3,46.1
E14000948,South Thanet,219950,22599,460,3.3,17.6,33.4,77.5,56,53.3,71.2
E14000949,South West Bedfordshire,220000,27076,506.7,1.1,12.2,78,6.3,85.5,50.9,30
E14000950,South West Devon,220000,x,545.3,0.7,17.3,83,80.4,68.9,7.9,7.9
E14000951,South West Hertfordshire,220500,35326,658.2,0.9,10,5.6,3.2,63.9,38.7,96.9
E14000952,South West Norfolk,221500,24300,477.2,1.1,12.1,9.1,19.2,49,64.3,84.3
E14000953,South West Surrey,222000,38856,727.9,0.6,10.2,34,82.6,18.7,96,72.6
E14000954,South West Wiltshire,222000,23949,479.4,1.1,15.6,18.9,9.6,4.7,77,75.4
E14000955,"Southampton, Itchen",222111,24139,461.5,1.7,13.5,99.5,29.1,71.7,2,62.6
E14000956,"Southampton, Test",223000,24394,505,1.6,33,2,80.8,72.1,25.4,26.7
E14000957,Southend West,223000,29434,561.9,1.7,38,58.5,41.6,50.9,84.6,66.2
E14000958,Southport,225000,25955,490.9,1.6,21.8,76.6,96.3,71.9,17.1,3
E14000959,Spelthorne,225000,32767,655.5,0.9,13.7,3.9,93.1,82.4,79,25.6
E14000960,St Albans,225000,36733,670.7,0.9,16.6,8.9,97.9,53.2,27.6,39.4
E14000961,St Austell and Newquay,225000,23147,460.9,1.8,16,2.2,13.3,55.3,61.9,52.5
E14000962,St Helens North,225000,24600,469.1,2.4,17.5,33.8,32.9,14.9,32.9,38.4
E14000963,St Helens South and Whis,225000,23754,459.7,2.5,27,29.4,50.1,98.6,90.1,90.6
E14000964,St Ives,227000,21909,389.2,1.1,16.3,16.9,35.5,9.4,65.8,54.5
E14000965,Stafford,227000,27599,538.8,1,31.4,34.5,48.2,43.4,36.5,25.2
E14000966,Staffordshire Moorlands,227500,28343,506.7,0.9,15.4,16.1,30.1,96.5,34.8,15.5
E14000967,Stalybridge and Hyde,227950,x,471,2.1,20.3,41.8,17.7,54.2,92.7,17
E14000968,Stevenage,229995,27819,539.6,2,22.2,10.7,34.2,57.5,64.8,57.8
E14000969,Stockport,229997.5,26764,514.4,3,15.4,7.9,37.4,8,60.3,65.7
E14000970,Stockton North,230000,24531,465,4.2,25.5,71.9,56.2,91.3,92.2,31.7
E14000971,Stockton South,230000,27196,535.2,2.8,14,27.3,16.2,95.1,42,54.3
E14000972,Stoke-on-Trent Central,230000,21991,424.3,2.6,31.2,26.5,76.8,96.2,15.5,49.4
E14000973,Stoke-on-Trent North,232500,21058,398.5,2.4,17.3,35.1,84.9,67.2,77.2,72.6
E14000974,Stoke-on-Trent South,234500,23729,452.8,1.8,14.2,48.5,58.1,67.4,4.5,86.6
E14000975,Stone,235000,28467,537.3,0.6,11.3,12.5,20.7,61.5,55.1,43.5
E14000976,Stourbridge,235000,27383,522.8,2.4,18.3,15.4,5.3,35,64.9,71.1
E14000977,Stratford-on-Avon,236000,x,535.7,0.5,10.6,79.1,33.7,22.6,72.7,12.4
E14000978,Streatham,236000,x,659.6,2.7,19.7,86.6,74.7,95.6,46.3,92.3
E14000979,Stretford and Urmston,240000,27617,527.8,1.8,12,60.3,42.7,96.3,12.4,33.7
E14000980,Stroud,240000,26609,514.8,0.9,13.2,75.5,52.7,0,93.2,22.4
E14000981,Suffolk Coastal,240000,28227,523.4,0.8,13.3,15.5,95.3,17.7,74.8,92.9
E14000982,Sunderland Central,240000,24072,463.4,3.4,33.1,82.9,35.3,9,25.8,34.6
E14000983,Surrey Heath,240750,35024,625,0.6,17.4,14.3,92.6,47.3,94.9,6.5
E14000984,Sutton and Cheam,245000,31966,586.4,1.2,16.4,58.9,50.8,38,23,92.8
E14000985,Sutton Coldfield,245000,33313,637.7,1.2,20,49.1,64.4,72.2,54.4,29.1
E14000986,Tamworth,245000,25212,460.2,0.7,11.7,52.9,66.4,34.6,74,94.3
E14000987,Tatton,245000,31475,601.5,0.7,5.6,0.6,59.5,0,37.7,40.7
E14000988,Taunton Deane,245500,25810,501.6,1.1,28.5,73.7,23.3,23.2,36.6,21.8
E14000989,Telford,245850,22574,443.8,2.4,14.9,21.5,95.8,71.8,7,54.1
E14000990,Tewkesbury,247500,28033,545.2,1.1,11.6,60.5,57.6,20.1,47.6,69.9
E14000991,The Cotswolds,247500,26961,506.9,0.6,10.4,22.1,49.8,2.8,13.6,24.8
E14000992,The Wrekin,247750,24673,475.7,1.3,25.2,69,88.6,98,72.9,14.3
E14000993,Thirsk and Malton,249500,x,435,1,17.1,66.8,67.1,65.6,19.3,43.3
E14000994,Thornbury and Yate,249950,26265,497.2,0.8,14.4,23.1,71.8,11.4,47.7,88
E14000995,Thurrock,249950,28057,554,2.4,14.9,23.4,17,54.9,58.2,30.1
E14000996,Tiverton and Honiton,249950,24255,460.1,0.8,14.7,11.6,59.3,49.7,49,70.8
E14000997,Tonbridge and Malling,249995,30675,593.3,1,13.3,46,42.1,58.8,53.8,92.4
E14000998,Tooting,249997.5,37905,688.7,1.7,44.2,53.7,65,85.8,46,35.8
E14000999,Torbay,250000,21637,419.7,2.5,31.5,10.4,42.8,79.8,24,52.7
E14001000,Torridge and West Devon,250000,24185,455.3,1.2,16.5,33.2,86.2,43.7,81.5,11.2
E14001001,Totnes,250000,25009,489.6,1,13.6,78.2,67,13.9,76.6,76.8
E14001002,Tottenham,250000,26595,478.4,4.1,19,48.9,55.9,10.8,16.2,81.1
E14001003,Truro and Falmouth,250000,24090,462.1,1.4,24.9,16.4,13,52.5,35,91.8
E14001004,Tunbridge Wells,250000,34988,647.6,0.8,14.1,10.5,92.7,42.8,29,64.1
E14001005,Twickenham,250000,x,726.7,1.2,12.8,62.4,4.6,85.2,46.6,22
E14001006,Tynemouth,250000,x,524.4,2.3,24.2,12.1,73.2,19.1,34.6,23.2
E14001007,Uxbridge and South Ruisl,250000,33663,593.7,1.2,13.2,37.4,0.8,36.2,65.4,71.9
E14001008,Vauxhall,250000,x,574.9,3,18.6,95.1,16,8.9,58.6,96.4
E14001009,Wakefield,250000,22321,433.7,2.7,29.5,67.6,68.1,34.8,1.7,83.5
E14001010,Wallasey,250000,25226,473.8,2.2,26.6,73.4,30.3,92.5,59.7,22.7
E14001011,Walsall North,250000,20766,421.6,3.9,17.5,71.2,9.5,18.7,72.9,48.1
E14001012,Walsall South,250000,23941,441,3.6,25.3,1.4,36.7,6.3,24.3,6.5
E14001013,Walthamstow,255500,26986,526.7,3.4,25.5,13.2,9.6,51.7,26.8,89.4
E14001014,Wansbeck,259000,23025,449.9,3.8,39.1,1,16.6,32.9,25.2,57.5
E14001015,Wantage,260000,x,590.4,0.6,13.7,3.1,76.4,41.1,48.4,67.4
E14001016,Warley,261750,21519,408.6,3.9,14.9,52,75.2,17.1,2.4,83.3
E14001017,Warrington North,265000,24882,476.6,1.6,12.7,70.7,57.9,95.7,19.1,18.9
E14001018,Warrington South,265000,28286,575.5,1.1,20.4,71.8,28.5,86.7,11.7,77.8
E14001019,Warwick and Leamington,265000,28560,562.4,0.8,19.5,2.3,88.6,15.9,18.2,7.6
E14001020,Washington and Sunderlan,265000,22365,428.9,3.6,20.5,98.2,86.3,55.1,95.6,1.3
E14001021,Watford,270000,31978,610.4,1.4,34.3,84.1,11.2,9.2,21.9,19.2
E14001022,Waveney,270000,24295,458.2,2,19.1,29.7,78.1,33,72.6,51.2
E14001023,Wealden,272250,31051,609.5,0.7,12.8,11.5,98.1,64.3,20.5,31.9
E14001024,Weaver Vale,272750,27457,513.6,1.8,13.7,5.9,17,50.7,50.4,78.5
E14001025,Wellingborough,274000,23910,455.9,1.7,11.3,91.8,2.2,97,8.8,47
E14001026,Wells,274225,24990,482.4,1.1,12,29.4,3.6,7.6,85.2,0.1
E14001027,Welwyn Hatfield,274995,30412,589.3,1.3,12.2,8.8,51.1,41.1,0.8,61.4
E14001028,Wentworth and Dearne,276000,22693,450.9,3,16.3,49.5,92.8,15,15.2,19.8
E14001029,West Bromwich East,277500,24127,481.1,4.2,26.1,83.3,19.3,34,37.3,44
E14001030,West Bromwich West,278000,21394,428.9,4.1,11.8,36.8,87.5,97.1,46,52.1
E14001031,West Dorset,280000,25909,516.1,0.6,30,50,64.2,55.4,66.5,66.2
E14001032,West Ham,282000,25516,500.6,3.1,24.5,85,6.7,49.7,87.6,79.7
E14001033,West Lancashire,282000,25371,490.2,1.2,16.7,48.5,35,91.7,66.8,60.4
E14001034,West Suffolk,282500,22649,427.5,1,13.7,73.9,54.7,5.6,31.1,56.7
E14001035,West Worcestershire,285000,24741,466.5,1,14,93.5,90.8,69.9,40.8,56.5
E14001036,Westminster North,285000,38201,711.6,1.9,14.2,68.1,81.3,49.9,3.4,40.9
E14001037,Westmorland and Lonsdale,285000,25603,475.8,0.5,14.8,75.3,21.2,67.7,56,50.1
E14001038,Weston-Super-Mare,285000,26976,533.4,1.8,18.4,13.4,22.4,47.7,61.6,42.4
E14001039,Wigan,287500,23185,457.6,2,26.6,62.7,48,79,12.6,76.6
E14001040,Wimbledon,288000,41561,766.6,1,12.5,94.9,77.1,79.2,79.5,6
E14001041,Winchester,290000,x,584.3,0.6,26.3,64.6,34.2,63.6,3.3,32.5
E14001042,Windsor,290000,34498,660.7,0.7,7.9,88.9,59.6,29,49.9,4
E14001043,Wirral South,295000,30236,548.1,1,19.6,30.7,6.5,49.5,15.8,85.4
E14001044,Wirral West,297000,29796,578.8,1.1,47.2,11.3,37.1,82.4,5.8,19.2
E14001045,Witham,299997.5,33189,555.8,1.3,11.5,89.6,53,72.4,9.6,91.1
E14001046,Witney,300000,x,575,0.7,12.2,49.6,77.3,44.8,96,25.8
E14001047,Woking,300000,32545,624.1,0.7,11.4,63.7,49.7,17.1,98.1,26.9
E14001048,Wokingham,300000,33789,637.6,0.6,12.7,51.1,95.2,77,77.5,72.8
E14001049,Wolverhampton North East,300750,21548,407,4.6,44.8,42.6,58,90.8,19.1,66.1
E14001050,Wolverhampton South East,304995,21556,415.4,5,7.4,87.3,80.2,91.4,45.6,11.9
E14001051,Wolverhampton South West,305000,25837,480.5,4.2,11.3,98.8,21.8,20.1,66.4,50.7
E14001052,Worcester,310000,27558,506.3,1.9,27.4,31.2,77.7,29.4,41,77.3
E14001053,Workington,312000,26706,512.4,2.3,19.1,16,58.6,24.7,22.9,75.6
E14001054,Worsley and Eccles South,315000,24132,474.7,2,15.7,47.5,57.9,87.6,94.3,12.5
E14001055,Worthing West,315000,25324,499.8,1.3,29.5,61.7,75.5,18.6,77.7,62.7
E14001056,Wycombe,315000,29469,576.8,1.5,11.7,79.8,65.8,10.1,12.1,99
E14001057,Wyre and Preston North,320000,26282,505.7,0.7,30.9,71.2,13,95.2,77.5,83
E14001058,Wyre Forest,320000,22729,468.2,1.6,16.9,25.2,33.7,65.5,1.1,83.7
E14001059,Wythenshawe and Sale Eas,320000,22852,437.2,2.7,17.5,70.3,87.4,57.5,7.2,12.6
E14001060,Yeovil,321500,25204,472.2,0.7,17.5,52.3,70,5.5,56.4,6.3
E14001061,York Central,325000,24433,461.1,1.2,26.5,69.5,92.1,92.9,72.7,34.6
E14001062,York Outer,330000,27673,499.6,0.6,9.7,92.1,18.2,34.1,52,86.4
W07000041,Ynys MŽn,330000,23517,444.8,2.9,24.7,62.4,42.7,65.2,0.1,99.8
W07000042,Delyn,335000,26506,522.2,2,29.4,67.4,22.7,28.4,27,99.1
W07000043,Alyn and Deeside,335000,26537,494.7,1.4,11.1,60.1,49.8,60.9,74.2,63.3
W07000044,Wrexham,335000,25739,480.9,2.6,31.1,29.6,44.6,48.3,30.4,81.6
W07000045,Llanelli,335000,25403,479,2.1,26.9,70.4,22.8,74.6,36.3,14.1
W07000046,Gower,339475,28310,1400,1.4,22.4,36.4,48.5,94.8,0.3,19.6
W07000047,Swansea West,340000,24120,490.4,2.6,30.2,6.3,53.6,1,86.6,75.8
W07000048,Swansea East,344000,22690,462.2,2.7,37,65.3,7.4,58.3,96.3,94.9
W07000049,Aberavon,345000,24081,490.3,2.5,25.2,46.5,34.9,9.3,44.8,32.3
W07000050,Cardiff Central,350000,26890,482,2.6,19.5,55.4,25,47.8,34.2,9.5
W07000051,Cardiff North,350000,28905,557.4,1.6,39.6,79.9,25.8,43.3,36.5,64.7
W07000052,Rhondda,354000,21856,432.4,3.5,38.9,52.3,90,95.3,15.5,85.6
W07000053,Torfaen,365000,24730,469.2,3,30.4,42.8,86.2,8.9,90.6,20.6
W07000054,Monmouth,369950,27852,558.1,1.5,29.3,64.1,54.3,97.3,74,90.1
W07000055,Newport East,370000,25457,475.3,3.6,15,63.5,60.6,48.6,83.7,86.5
W07000056,Newport West,370000,25447,487.6,3.7,36.8,3.9,90.1,34.5,97.2,40.8
W07000057,Arfon,375000,25318,479.2,2.4,37.3,95.5,49.6,38.2,25.9,97.1
W07000058,Aberconwy,385000,26005,496.3,2.3,23.4,93.9,56.2,25.6,99.7,66.6
W07000059,Clwyd West,387000,26596,521.4,2.1,32.4,48.5,13.4,2,42.6,89.5
W07000060,Vale of Clwyd,390000,22088,431.8,2.8,36.9,13.8,91.2,71.6,82.5,28.8
W07000061,Dwyfor Meirionnydd,399995,20229,389.2,1.7,22.3,30.1,92.7,25.7,65.8,35
W07000062,Clwyd South,407500,22801,444,2.2,16.6,94.5,67.8,80.6,67.8,44.2
W07000063,Montgomeryshire,414000,21156,425.5,1.3,19.6,63.2,84.4,97.6,87,29.1
W07000064,Ceredigion,415000,21708,435.3,1.1,28.5,64.5,92.5,43.6,77.4,83.8
W07000065,Preseli Pembrokeshire,417000,24236,466.7,2.1,34.6,61,58.3,33.2,72.4,23.3
W07000066,Carmarthen West and Sout,417500,20500,429.8,2.1,31.6,99.9,77.6,39.4,62.9,75.8
W07000067,Carmarthen East and Dine,430000,26812,540.6,1.6,26.8,51.9,42.7,34.7,60.1,88.3
W07000068,Brecon and Radnorshire,435000,23272,422.1,1.1,30.9,30.7,1.4,38.4,28.2,70.3
W07000069,Neath,454500,23830,457.7,2.2,27.6,59.2,87.1,38.6,13,29.1
W07000070,Cynon Valley,455000,23916,499.5,3.2,31.9,22.4,6.8,84.7,34.9,93.4
W07000071,Merthyr Tydfil and Rhymn,461500,21762,434,3.7,35.1,10.6,75,53.4,21.4,47.3
W07000072,Blaenau Gwent,515000,21081,398.3,4.4,26.6,49.1,74.3,8.2,48.4,92.2
W07000073,Bridgend,520000,26899,529.3,1.9,33.3,22.4,12.2,56.5,59.9,28.8
